,between centrality,degree centrality,close centrality,eigen centrality,strength,degree,date
Bitcoin,0.16666666666666666,1.0,1.0,0.5100364187624349,20,4,2013-04-21
Litecoin,0.0,0.75,0.8,0.4390419009464295,6,3,2013-04-21
Namecoin,0.16666666666666666,1.0,1.0,0.5100364187624349,10,4,2013-04-21
Peercoin,0.0,0.75,0.8,0.4390419009464296,3,3,2013-04-21
Ripple,0.0,0.5,0.6666666666666666,0.3069366734339046,11,2,2013-04-21
Auroracoin,0.0002801120448179272,0.8571428571428571,0.875,0.2241055896711172,65,18,2016-11-13
Bitcoin,0.04614179004935308,1.0,1.0,0.2359162884526125,401,21,2016-11-13
Dash,0.006912765106042418,0.9047619047619048,0.9130434782608696,0.2293498836091859,102,19,2016-11-13
Dogecoin,0.04614179004935308,1.0,1.0,0.2359162884526125,232,21,2016-11-13
Ethereum,0.042006802721088435,0.9523809523809524,0.9545454545454546,0.2248843709591672,133,20,2016-11-13
Gridcoin,0.0,0.8095238095238095,0.84,0.21242664377905676,17,17,2016-11-13
Litecoin,0.008556756035747631,0.9047619047619048,0.9130434782608696,0.22868993205558602,240,19,2016-11-13
MazaCoin,0.006912765106042418,0.9047619047619048,0.9130434782608696,0.2293498836091859,67,19,2016-11-13
Monero,0.008556756035747631,0.9047619047619048,0.9130434782608696,0.22868993205558602,58,19,2016-11-13
NEM,0.006912765106042418,0.9047619047619048,0.9130434782608696,0.2293498836091859,53,19,2016-11-13
Namecoin,0.006912765106042418,0.9047619047619048,0.9130434782608696,0.2293498836091859,164,19,2016-11-13
Nxt,0.006912765106042418,0.9047619047619048,0.9130434782608696,0.2293498836091859,77,19,2016-11-13
Peercoin,0.008556756035747631,0.9047619047619048,0.9130434782608696,0.22868993205558602,148,19,2016-11-13
PotCoin,0.0002801120448179272,0.8571428571428571,0.875,0.2241055896711172,40,18,2016-11-13
Primecoin,0.0002801120448179272,0.8571428571428571,0.875,0.2241055896711172,158,18,2016-11-13
Ripple,0.008556756035747631,0.9047619047619048,0.9130434782608696,0.22868993205558602,161,19,2016-11-13
Stellar,0.0002801120448179272,0.8571428571428571,0.875,0.2241055896711172,34,18,2016-11-13
Titcoin,0.0002801120448179272,0.8571428571428571,0.875,0.2241055896711172,53,18,2016-11-13
Vertcoin,0.0002801120448179272,0.8571428571428571,0.875,0.2241055896711172,72,18,2016-11-13
Ethereum Classic,0.0,0.14285714285714285,0.5384615384615384,0.038164721362902124,4,3,2016-11-13
NuBits,0.0,0.3809523809523809,0.6176470588235294,0.10098104322682808,14,8,2016-11-13
Zcash,0.0,0.3333333333333333,0.6,0.08827318825975508,13,7,2016-11-13
Auroracoin,0.0017382555652596262,0.9189189189189191,0.925,0.1667024854578708,188,34,2018-08-26
Bitcoin,0.01713937036208098,1.0,1.0,0.17410812886675472,889,37,2018-08-26
Bitcoin Cash,0.003625856848567468,0.972972972972973,0.9736842105263158,0.17353941235434664,279,36,2018-08-26
Bitcoin Gold,0.00215405480916997,0.9459459459459459,0.9487179487179488,0.17083768109656752,208,35,2018-08-26
Bitcoin Private,0.0015593716020660994,0.8918918918918919,0.902439024390244,0.16210433184895426,120,33,2018-08-26
Bitconnect,0.0016319096281022212,0.8648648648648649,0.8809523809523809,0.15678262924206707,142,32,2018-08-26
Cardano,0.0033803492441888965,0.9459459459459459,0.9487179487179488,0.16904236347466362,179,35,2018-08-26
Dash,0.00215405480916997,0.9459459459459459,0.9487179487179488,0.17083768109656752,342,35,2018-08-26
Decred,0.0004332870260289615,0.8918918918918919,0.902439024390244,0.1640007542000917,121,33,2018-08-26
Dogecoin,0.0019991075502495425,0.9459459459459459,0.9487179487179488,0.17093878582580113,488,35,2018-08-26
EOS,0.00215405480916997,0.9459459459459459,0.9487179487179488,0.17083768109656752,156,35,2018-08-26
Ethereum,0.003625856848567468,0.972972972972973,0.9736842105263158,0.17353941235434664,527,36,2018-08-26
Ethereum Classic,0.0004332870260289615,0.8918918918918919,0.902439024390244,0.1640007542000917,239,33,2018-08-26
Filecoin,0.013187394329226757,0.9189189189189191,0.925,0.16239352068587026,76,34,2018-08-26
Gridcoin,0.0006941390110188773,0.9189189189189191,0.925,0.16823705456802207,179,34,2018-08-26
Litecoin,0.003625856848567468,0.972972972972973,0.9736842105263158,0.17353941235434664,523,36,2018-08-26
MazaCoin,0.0016283346245272172,0.8648648648648649,0.8809523809523809,0.15665780549376862,119,32,2018-08-26
Monero,0.003625856848567468,0.972972972972973,0.9736842105263158,0.17353941235434664,358,36,2018-08-26
NEM,0.0006941390110188773,0.9189189189189191,0.925,0.16823705456802207,252,34,2018-08-26
NEO,0.00215405480916997,0.9459459459459459,0.9487179487179488,0.17083768109656758,130,35,2018-08-26
Namecoin,0.0006941390110188773,0.9189189189189191,0.925,0.16823705456802207,315,34,2018-08-26
NuBits,0.016421629448261636,0.972972972972973,0.9736842105263158,0.1694183227826791,107,36,2018-08-26
Nxt,0.00215405480916997,0.9459459459459459,0.9487179487179488,0.17083768109656758,229,35,2018-08-26
OmiseGO,0.0019991075502495425,0.9459459459459459,0.9487179487179488,0.17093878582580113,140,35,2018-08-26
Peercoin,0.00215405480916997,0.9459459459459459,0.9487179487179488,0.17083768109656758,300,35,2018-08-26
PotCoin,0.0019991075502495425,0.9459459459459459,0.9487179487179488,0.17093878582580113,191,35,2018-08-26
Primecoin,0.0018537000459710707,0.9189189189189191,0.925,0.16643816945138068,284,34,2018-08-26
Ripple,0.003625856848567468,0.972972972972973,0.9736842105263158,0.17353941235434664,402,36,2018-08-26
Stellar,0.012060243018251914,0.9189189189189191,0.925,0.16430515470600965,211,34,2018-08-26
Tether,0.003381415979126599,0.9459459459459459,0.9487179487179488,0.16902715180566172,147,35,2018-08-26
Titcoin,0.0019991075502495425,0.9459459459459459,0.9487179487179488,0.17093878582580113,183,35,2018-08-26
Verge,0.0002444408694408694,0.5135135135135136,0.6727272727272727,0.09411362871314097,28,19,2018-08-26
