,number of edits,name,page_name
1,2718.0,Ladislav Mecir,Bitcoin
2,597.0,Ladislav Mecir,Blockchain
3,478.0,Ladislav Mecir,Legality of bitcoin by country or territory
4,357.0,Ladislav Mecir,Bitcoin Cash
5,311.0,Ladislav Mecir,Cryptocurrency
6,209.0,Ladislav Mecir,Rebol
7,190.0,Ladislav Mecir,Bitcoin scalability problem
8,177.0,Ladislav Mecir,History of bitcoin
9,109.0,Ladislav Mecir,Satoshi Nakamoto
10,98.0,Ladislav Mecir,Virtual currency
11,87.0,Ladislav Mecir,Bayesian probability
12,77.0,Ladislav Mecir,Cryptocurrency wallet
13,71.0,Ladislav Mecir,Digital currency
14,71.0,Ladislav Mecir,Bitcoin Unlimited
15,70.0,Ladislav Mecir,Bitcoin network
16,56.0,Ladislav Mecir,Andreas Antonopoulos
17,55.0,Ladislav Mecir,Bitcoin Core
18,49.0,Ladislav Mecir,Economics of bitcoin
19,48.0,Ladislav Mecir,Craig Steven Wright
21,968.0,Fleetham,Bitcoin
22,315.0,Fleetham,Viktor Bout
23,262.0,Fleetham,Share taxi
24,261.0,Fleetham,Dongfeng Motor Corporation
25,225.0,Fleetham,Fastenal
26,224.0,Fleetham,Great Wall Motors
27,214.0,Fleetham,Special drawing rights
28,206.0,Fleetham,FAW Group
29,186.0,Fleetham,Foxconn
30,184.0,Fleetham,BYD Auto
31,183.0,Fleetham,ZTE
32,179.0,Fleetham,Hisense
33,176.0,Fleetham,Chery
34,176.0,Fleetham,BYD Company
35,168.0,Fleetham,Lanix
36,166.0,Fleetham,Tata Nano
37,157.0,Fleetham,Taste
38,153.0,Fleetham,Tencent
39,138.0,Fleetham,Changan Automobile
41,916.0,Neoconfederate,Bitcoin
42,74.0,Neoconfederate,Digital currency
43,41.0,Neoconfederate,Electronic money
44,14.0,Neoconfederate,Virtual currency
45,11.0,Neoconfederate,2140s
46,7.0,Neoconfederate,Virtual goods
47,7.0,Neoconfederate,Ven (currency)
48,7.0,Neoconfederate,22nd century
49,6.0,Neoconfederate,Market capitalization
50,6.0,Neoconfederate,BTC
51,5.0,Neoconfederate,Plane (esotericism)
52,5.0,Neoconfederate,Ripple (payment protocol)
53,4.0,Neoconfederate,Pope emeritus
54,4.0,Neoconfederate,Virtual economy
55,4.0,Neoconfederate,21st century
56,4.0,Neoconfederate,Christopher Dorner
57,4.0,Neoconfederate,Alternative currency
58,4.0,Neoconfederate,Aaron Swartz
59,3.0,Neoconfederate,Satoshi
61,621.0,HowardStrong,Bitcoin
62,41.0,HowardStrong,Bitcoin-Qt
63,34.0,HowardStrong,Litecoin
64,9.0,HowardStrong,List of circulating currencies
65,9.0,HowardStrong,Bitcoind
66,5.0,HowardStrong,List of currencies
67,3.0,HowardStrong,World currency
68,2.0,HowardStrong,ISO 4217
69,2.0,HowardStrong,MintChip
70,2.0,HowardStrong,Thai baht
71,2.0,HowardStrong,Satoshi
72,2.0,HowardStrong,Bitcoinqt
73,2.0,HowardStrong,Douchemark
74,2.0,HowardStrong,Baht sign
75,2.0,HowardStrong,Internet currency
76,1.0,HowardStrong,Satoshis
77,1.0,HowardStrong,Bitcents
78,1.0,HowardStrong,Namecoin
79,1.0,HowardStrong,1 BTC
81,199.0,Jtbobwaysf,Bitcoin Cash
82,161.0,Jtbobwaysf,Bitcoin
83,159.0,Jtbobwaysf,Ethereum
84,79.0,Jtbobwaysf,Bitcoin scalability problem
85,62.0,Jtbobwaysf,Auren Hoffman
86,60.0,Jtbobwaysf,Decentralized autonomous organization
87,57.0,Jtbobwaysf,Blockchain
88,49.0,Jtbobwaysf,Larry Schultz
89,44.0,Jtbobwaysf,Blockstream
90,39.0,Jtbobwaysf,Vitalik Buterin
91,37.0,Jtbobwaysf,Graham Gold
92,37.0,Jtbobwaysf,Solidity
93,33.0,Jtbobwaysf,Lightning Network
94,32.0,Jtbobwaysf,Imelda Marcos
95,31.0,Jtbobwaysf,White Wolf Mountain
96,24.0,Jtbobwaysf,Dash (cryptocurrency)
97,24.0,Jtbobwaysf,O. J. Simpson robbery case
98,21.0,Jtbobwaysf,ConsenSys
99,21.0,Jtbobwaysf,Bitcoin Magazine
101,686.0,Jytdog,Genetically modified food controversies
102,606.0,Jytdog,Monsanto
103,353.0,Jytdog,Glyphosate
104,349.0,Jytdog,Genetically modified food
105,239.0,Jytdog,Charlie Gard case
106,223.0,Jytdog,Genetically modified crops
107,209.0,Jytdog,Misophonia
108,181.0,Jytdog,Gut flora
109,179.0,Jytdog,The Bible and violence
110,169.0,Jytdog,Epinephrine autoinjector
111,165.0,Jytdog,IDEA Public Schools
112,163.0,Jytdog,Calvin Cheng
113,163.0,Jytdog,Genetically modified organism
114,161.0,Jytdog,Mitragyna speciosa
115,156.0,Jytdog,Organic farming
116,153.0,Jytdog,GlaxoSmithKline
117,139.0,Jytdog,Paleolithic diet
118,139.0,Jytdog,Gut–brain axis
119,137.0,Jytdog,Electroconvulsive therapy
121,450.0,Wuerzele,Bitcoin
122,180.0,Wuerzele,Dakota Access Pipeline
123,149.0,Wuerzele,Pegida
124,134.0,Wuerzele,Zika virus
125,128.0,Wuerzele,Prescription drug prices in the United States
126,112.0,Wuerzele,Physicians in the United States Congress
127,93.0,Wuerzele,Wyoming Department of Environmental Quality
128,83.0,Wuerzele,Aliso Canyon gas leak
129,82.0,Wuerzele,Antimicrobial resistance
130,82.0,Wuerzele,Maria Radner
131,79.0,Wuerzele,Carbapenem-resistant enterobacteriaceae
132,78.0,Wuerzele,D'Arcy Wentworth Thompson
133,73.0,Wuerzele,Dan Gertler
134,70.0,Wuerzele,Entrambasaguas
135,69.0,Wuerzele,Microbiota
136,68.0,Wuerzele,"2,4-Dichlorophenoxyacetic acid"
137,67.0,Wuerzele,Virtual currency
138,67.0,Wuerzele,Polychlorinated biphenyl
139,62.0,Wuerzele,Aerotoxic syndrome
141,701.0,David Gerard,OpenOffice.org
142,299.0,David Gerard,X Window System
143,283.0,David Gerard,Ethereum
144,260.0,David Gerard,Apache OpenOffice
145,198.0,David Gerard,Xenu
146,151.0,David Gerard,Linux
147,136.0,David Gerard,LibreOffice
148,135.0,David Gerard,Canon Digital IXUS
149,128.0,David Gerard,Factory Benelux discography
150,118.0,David Gerard,AACS encryption key controversy
151,100.0,David Gerard,Fork (software development)
152,100.0,David Gerard,Factory Records discography
153,94.0,David Gerard,Alexis de Tocqueville Institution
154,82.0,David Gerard,Curtis Yarvin
155,82.0,David Gerard,Dark Enlightenment
156,78.0,David Gerard,XFree86
157,75.0,David Gerard,The Wolfgang Press
158,74.0,David Gerard,GNU/Linux naming controversy
159,74.0,David Gerard,Smart contract
161,93.0,Cliff12345,Litecoin
162,81.0,Cliff12345,Peercoin
163,63.0,Cliff12345,List of cryptocurrencies
164,62.0,Cliff12345,Bitcoin
165,59.0,Cliff12345,Ripple (payment protocol)
166,59.0,Cliff12345,Digital currency
167,45.0,Cliff12345,Cryptocurrency
168,33.0,Cliff12345,Ethylene propylene rubber
169,31.0,Cliff12345,List of digital currencies
170,26.0,Cliff12345,Center for Retirement Research at Boston College
171,23.0,Cliff12345,Namecoin
172,23.0,Cliff12345,Library assessment
173,21.0,Cliff12345,United Kingdom Mathematics Trust
174,15.0,Cliff12345,Houdini (chess)
175,15.0,Cliff12345,Muhammad's first revelation
176,14.0,Cliff12345,Space Technology Hall of Fame
177,14.0,Cliff12345,"Shamsabad, Pakistan"
178,13.0,Cliff12345,Tear resistance
179,13.0,Cliff12345,Spring supply
181,487.0,Smallbones,List of municipalities in Pennsylvania
182,307.0,Smallbones,Bernard Madoff
183,244.0,Smallbones,George Soros
184,206.0,Smallbones,"Chambersburg, Pennsylvania"
185,173.0,Smallbones,Bitcoin
186,156.0,Smallbones,Brandywine Creek (Christina River tributary)
187,152.0,Smallbones,Foreign exchange market
